origin,destination,distance
AF,AZ,1910.119
AF,BA,4396.955
AF,BB,12364.145
AF,BD,2475.604
AF,BE,5343.487
AF,BF,7348.768
AF,BG,3768.247
AF,BH,1866.958
AF,BI,5733.725
AF,BJ,7167.292
AF,BL,12232.217
AF,BM,11127.227
AF,BN,5843.879
AF,BO,14790.406
AF,BQ,13105.102
AF,BR,13603.462
AF,BS,12492.951
AF,BT,2280.704
AF,BV,11587.706
AF,BW,7736.805
AF,BY,3797.992
AF,BZ,13795.999
AF,CA,9983.985
AF,CA-AB,10121.974
AF,CA-BC,10051.05
AF,CA-MB,10018.069
AF,CA-NB,9975.709
AF,CA-NL,9094.228
AF,CA-NS,9921.244
AF,CA-NT,9002.338
AF,CA-NU,8876.477
AF,CA-ON,10181.773
AF,CA-PE,9821.682
AF,CA-QC,9635.64
AF,CA-SK,10049.13
AF,CA-YT,8913.302
AF,CC,5982.576
AF,CD,6598.71
AF,CF,5675.757
AF,CG,6650.518
AF,CH,5108.329
AF,CI,7998.154
AF,CK,15172.654
AF,CL,16316.585
AF,CM,6378.179
AF,CN,3314.965
AF,CO,14165.232
AF,CR,14298.829
AF,CU,12847.623
AF,CV,9177.409
AF,CW,13139.926
AF,CX,6359.278
AF,CY,3127.396
AF,CZ,4562.374
AF,DE,4920.626
AF,DJ,3539.076
AF,DK,5004.428
AF,DM,12325.089
AF,DO,12652.724
AF,DZ,6223.291
AF,EC,14987.165
AF,EE,4160.43
AF,EG,3607.516
AF,EH,7711.526
AF,ER,3490.581
AF,ES,6197.354
AF,ET,3914.442
AF,FI,4277.47
AF,FJ,13005.293
AF,FK,15402.709
AF,FM,8888.91
AF,FO,5938.641
AF,FR,5572.981
AF,GA,6999.205
AF,GB,5813.537
AF,GD,12594.984
AF,GE,2314.263
AF,GF,12531.945
AF,GG,5858.865
AF,GH,7557.082
AF,GI,6489.744
AF,GL,7107.104
AF,GM,8543.032
AF,GN,8235.335
AF,GP,12247.761
AF,GQ,6945.244
AF,GR,4097.095
AF,GS,13857.172
AF,GT,14012.618
AF,GU,7998.31
AF,GW,8628.833
AF,GY,12953
AF,HK,4683.905
AF,HM,9692.825
AF,HN,13894.132
AF,HR,4586.283
AF,HT,12765.29
AF,HU,4253.04
AF,ID,6171.679
AF,IE,6156.564
AF,IL,3085.359
AF,IM,5901.516
AF,IN,1851.55
AF,IO,4500.619
AF,IQ,2222.467
AF,IR,1314.617
AF,IS,6479.663
AF,IT,4833.63
AF,JE,5832.168
AF,JM,13142.48
AF,JO,2970.953
AF,JP,6276.149
AF,KE,4889.559
AF,KG,1018.697
AF,KH,4450.514
AF,KI,13274.532
AF,KM,5683.966
AF,KN,12269.489
AF,KP,5247.937
AF,KR,5391.032
AF,KW,1979.415
AF,KY,13187.484
AF,KZ,1567.044
AF,LA,3763.949
AF,LB,2927.433
AF,LC,12416.564
AF,LI,5007.268
AF,LK,3192.9
AF,LR,8424
AF,LS,8193.547
AF,LT,4098.413
AF,LU,5232.189
AF,LV,4115.084
AF,LY,4879.131
AF,MA,6825.192
AF,MC,5216.426
AF,MD,3591.626
AF,ME,4267.319
AF,MF,12228.849
AF,MG,6262.841
AF,MH,10790.001
AF,MK,4079.296
AF,ML,7268.449
AF,MM,3066.234
AF,MN,3342.081
AF,MO,4641.65
AF,MP,7828.683
AF,MQ,12361.458
AF,MR,7712.02
AF,MS,12277.102
AF,MT,4805.331
AF,MU,6131.656
AF,MV,3465.151
AF,MW,6327.047
AF,MX,13530.884
AF,MY,4842.505
AF,MZ,6770.124
AF,NA,8191.569
AF,NC,11987.789
AF,NE,6153.532
AF,NF,12629.487
AF,NG,6600.561
AF,NI,14073.936
AF,NL,5273.549
AF,NO,5112.744
AF,NP,1676.468
AF,NR,10889.807
AF,NU,14128.942
AF,NZ,13723.384
AF,OM,1801.249
AF,PA,14240.45
AF,PE,15323.217
AF,PF,15913.909
AF,PG,9147.103
AF,PH,5915.005
AF,PK,425.101
AF,PL,4326.99
AF,PM,9424.719
AF,PN,18226.35
AF,PR,12462.047
AF,PS,3025.988
AF,PT,6596.541
AF,PW,7412.989
AF,PY,14695.135
AF,QA,1856.857
AF,RE,6256.039
AF,RO,3827.405
AF,RS,4130.504
AF,RU,4055.725
AF,RW,5616.499
AF,SA,2462.316
AF,SB,10828.216
AF,SC,4481.946
AF,SD,4447.941
AF,SE,4557.513
AF,SG,5215.365
AF,SH,10438.619
AF,SI,4596.79
AF,SJ,5370.201
AF,SK,4248.482
AF,SL,8516.997
AF,SM,4813.467
AF,SN,8402.338
AF,SO,3894.986
AF,SR,12779.782
AF,SS,4796.002
AF,ST,7366.295
AF,SV,14158.038
AF,SX,12232.344
AF,SY,2628.071
AF,SZ,7733.73
AF,TC,12489.991
AF,TD,5298.814
AF,TF,9255.003
AF,TG,7346.165
AF,TH,3884.741
AF,TJ,633.421
AF,TK,13359.12
AF,TL,13748.478
AF,TM,918.412
AF,TN,5291.253
AF,TO,13748.478
AF,TR,2940.945
AF,TT,12690
AF,TV,12284.613
AF,TW,5252.935
AF,TZ,5657.512
AF,UA,3410.943
AF,UG,5162.455
AF,UM,9607.729
AF,US,11932.568
AF,US-AK,8550.754
AF,US-AL,12183.374
AF,US-AZ,12454.132
AF,US-AR,12037.931
AF,US-CA,12117.044
AF,US-CO,11816.09
AF,US-CT,10709.981
AF,US-DE,11073.213
AF,US-FL,12434.271
AF,US-GA,12039.156
AF,US-HI,12512.309
AF,US-ID,11337.515
AF,US-IL,11397.467
AF,US-IN,11338.246
AF,US-IA,11359.954
AF,US-KS,11779.561
AF,US-KY,11524.719
AF,US-LA,12501.09
AF,US-ME,10209.433
AF,US-MD,11108.059
AF,US-MA,10558.949
AF,US-MI,10904.582
AF,US-MN,10873.557
AF,US-MS,12264.23
AF,US-MO,11745.138
AF,US-MT,11026.376
AF,US-NE,11532.406
AF,US-NV,11915.382
AF,US-NH,10493.987
AF,US-NJ,10914.373
AF,US-NM,12367.922
AF,US-NY,10834.581
AF,US-NC,11538.753
AF,US-ND,10870.712
AF,US-OH,11215.052
AF,US-OK,12187.089
AF,US-OR,11329.925
AF,US-PA,10965.498
AF,US-RI,10640.333
AF,US-SC,11793.57
AF,US-SD,11193.78
AF,US-TN,11842.61
AF,US-TX,12572.568
AF,US-UT,11868.006
AF,US-VT,10409.224
AF,US-VA,11373.435
AF,US-WA,10892.582
AF,US-WV,11334.073
AF,US-WI,11050.301
AF,US-WY,11436.329
AF,UY,14824.013
AF,UZ,871.475
AF,VA,4842.469
AF,VC,12513.543
AF,VE,13441.837
AF,VG,12311.688
AF,VI,12336.538
AF,VN,4633.677
AF,VU,11793.153
AF,WF,13161.892
AF,WS,13626.345
AF,XK,4143.082
AF,YE,2806.656
AF,YT,5721.287
AF,ZA,8572.845
AF,ZM,6720.819
AF,ZW,7165.336
AG,AD,6569.94
AG,AE,11703.119
AG,AF,12222.866
AG,AG,0
AG,AI,186.554
AG,AL,8108.456
AG,AM,10154.219
AG,AO,9297.905
AG,AQ,12662.895
AG,AR,6171.674
AG,AS,12428.016
AG,AT,7601.301
AG,AU,18162.348
AG,AW,1012.974
AG,AX,7855.323
AG,AZ,10347.123
AG,BA,7869.806
AG,BB,493.312
AG,BD,14567.98
AG,BE,6882.165
