country,period,Bioenergy,Hydro,Solar,Wind
SK,2025-08,0.1752,0.6497,0.1752,0
SK,2025-09,0.147,0.7061,0.147,0
SK,2025-10,0.216,0.7028,0.0813,0
SK,2025-11,0.2003,0.7495,0.0502,0
SK,2025-12,0.2052,0.7695,0.0253,0
SK,2026-01,0.2122,0.7576,0.0302,0
SK,2026-02,0.1626,0.7908,0.0466,0
SK,2026-03,0.1861,0.6976,0.1163,0
SK,2026-04,0.1999,0.6002,0.1999,0
SK,2026-05,0.2224,0.5553,0.2224,0
SK,2026-06,0.2053,0.5894,0.2053,0
SK,2026-07,0.2053,0.5894,0.2053,0
SK,2026-08,0.2053,0.5894,0.2053,0
SL,2019-01,0,0.9474,0.0526,0
SL,2019-02,0,0.9474,0.0526,0
SL,2019-03,0,0.9474,0.0526,0
SL,2019-04,0,0.9474,0.0526,0
SL,2019-05,0,0.9474,0.0526,0
SL,2019-06,0,0.9474,0.0526,0
SL,2019-07,0,0.9474,0.0526,0
SL,2019-08,0,0.9474,0.0526,0
SL,2019-09,0,0.9474,0.0526,0
SL,2019-10,0,0.9474,0.0526,0
SL,2019-11,0,0.9474,0.0526,0
SL,2019-12,0,0.9474,0.0526,0
SL,2020-01,0,0.9474,0.0526,0
SL,2020-02,0,0.9474,0.0526,0
SL,2020-03,0,0.9474,0.0526,0
SL,2020-04,0,0.9474,0.0526,0
SL,2020-05,0,0.9474,0.0526,0
SL,2020-06,0,0.9474,0.0526,0
SL,2020-07,0,0.9474,0.0526,0
SL,2020-08,0,0.9474,0.0526,0
SL,2020-09,0,0.9474,0.0526,0
SL,2020-10,0,0.9474,0.0526,0
SL,2020-11,0,0.9474,0.0526,0
SL,2020-12,0,0.9474,0.0526,0
SL,2021-01,0,0.9474,0.0526,0
SL,2021-02,0,0.9474,0.0526,0
SL,2021-03,0,0.9474,0.0526,0
SL,2021-04,0,0.9474,0.0526,0
SL,2021-05,0,0.9474,0.0526,0
SL,2021-06,0,0.9474,0.0526,0
SL,2021-07,0,0.9474,0.0526,0
SL,2021-08,0,0.9474,0.0526,0
SL,2021-09,0,0.9474,0.0526,0
SL,2021-10,0,0.9474,0.0526,0
SL,2021-11,0,0.9474,0.0526,0
SL,2021-12,0,0.9474,0.0526,0
SL,2022-01,0,0.9474,0.0526,0
SL,2022-02,0,0.9474,0.0526,0
