id,family,name,category,vcpus,memory,ssd,hdd,cpu,accelerators,accelerator
d64-v5,dsv5,d64 v5,general,64,256,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d64a-v4,dav4,d64a v4,general,64,256,1600,0,"amd-epyc-7452,amd-epyc-7763v",0,
d64ads-v5,dadsv5,d64ads v5,general,64,256,2400,0,amd-epyc-7763v,0,
d64ads-v6,dadsv6,d64ads v6,general,64,256,3520,0,amd-epyc-9004,0,
d64alds-v6,daldsv6,d64alds v6,general,64,128,3520,0,amd-epyc-9004,0,
d64als-v6,dalsv6,d64als v6,general,64,128,0,0,amd-epyc-9004,0,
d64as-v4,dasv4,d64as v4,general,64,256,512,0,"amd-epyc-7452,amd-epyc-7763v",0,
d64as-v5,dasv5,d64as v5,general,64,256,0,0,amd-epyc-7763v,0,
d64as-v6,dasv6,d64as v6,general,64,256,0,0,amd-epyc-9004,0,
d64d-v4,ddv4,d64d v4,general,64,256,2400,0,"intel-xeon-8370c,intel-xeon-8272cl",0,
d64d-v5,ddv5,d64d v5,general,64,256,2400,0,intel-xeon-8370c,0,
