id,family,category,vcpus,memory,ssd,hdd,cpu
n1-highcpu-32,n1-highcpu-32,general,32,28.8,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-highcpu-4,n1-highcpu-4,general,4,3.6,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-highcpu-64,n1-highcpu-64,general,64,57.6,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-highcpu-8,n1-highcpu-8,general,8,7.2,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-highcpu-96,n1-highcpu-96,general,96,86.4,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-highmem-16,n1-highmem-16,general,16,104,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-highmem-2,n1-highmem-2,general,2,13,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-highmem-32,n1-highmem-32,general,32,208,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-highmem-4,n1-highmem-4,general,4,26,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-highmem-64,n1-highmem-64,general,64,416,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-highmem-8,n1-highmem-8,general,8,52,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-highmem-96,n1-highmem-96,general,96,624,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-standard-1,n1-standard-1,general,1,3.75,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-standard-16,n1-standard-16,general,16,60,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-standard-2,n1-standard-2,general,2,7.5,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-standard-32,n1-standard-32,general,32,120,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-standard-4,n1-standard-4,general,4,15,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-standard-64,n1-standard-64,general,64,240,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-standard-8,n1-standard-8,general,8,30,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n1-standard-96,n1-standard-96,general,96,360,375,,"intel-xeon-8173m,intel-xeon-e52696v4,intel-xeon-e52696v3,intel-xeon-e52696v2,intel-xeon-e52689"
n2-highcpu-16,n2-highcpu-16,general,16,16,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highcpu-2,n2-highcpu-2,general,2,2,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highcpu-32,n2-highcpu-32,general,32,32,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highcpu-4,n2-highcpu-4,general,4,4,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highcpu-48,n2-highcpu-48,general,48,48,375,,"intel-xeon-8373c,intel-xeon-6268cl"
