subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
CA-NL,2019-03,6.30121e-8,0.0000506018,0.0265062,3.67443e-10,1.3944e-9,0.0105723,0.000818584,2.7293e-7,0.00187847
CA-NS,2019-03,1.33301e-7,0.000175463,0.0119257,8.54436e-10,1.5387e-9,0.0080231,0.000387852,0.00000582869,0.0065395
CA-NT,2019-03,8.12992e-8,0.000152675,0.011349,3.50317e-10,1.40902e-9,0.00837286,0.00045487,0.00000483562,0.00531976
CA-NU,2019-03,6.20408e-8,0.000207664,0.00105986,7.4966e-11,1.34422e-9,0.00709161,0.000244717,0.00000731565,0.00692789
CA-ON,2019-03,1.82335e-7,0.0000475533,0.0161838,8.38551e-10,1.00395e-9,0.00549075,0.000494176,9.1149e-7,0.00247012
CA-PE,2019-03,6.74246e-7,0.0000542814,0.0741938,6.5036e-9,2.97313e-9,0.0123763,0.0010304,6.05716e-8,0.00752992
CA-QC,2019-03,9.89939e-8,0.0000465523,0.0300185,7.3875e-10,1.48886e-9,0.0107723,0.000846313,6.95187e-8,0.00207538
CA-SK,2019-03,8.66996e-8,0.00018258,0.00707168,3.69782e-10,1.41575e-9,0.00772263,0.000345153,0.00000617603,0.00634452
CA-YT,2019-03,6.09987e-8,0.00008965,0.020039,2.76787e-10,1.37733e-9,0.00970151,0.000675276,0.00000202493,0.0031177
US-AK,2019-03,3.69168e-8,0.0000287675,0.00928698,2.55477e-10,5.49013e-10,0.00373913,0.000271764,5.4174e-7,0.00114212
US-AL,2019-03,4.12426e-8,0.0000680239,0.00322386,6.6025e-11,5.74189e-10,0.00330073,0.000182917,0.00000221095,0.00232998
US-AR,2019-03,3.9456e-8,0.000062969,0.00187559,4.84043e-11,4.89787e-10,0.00267996,0.00014093,0.00000210699,0.00215815
US-AZ,2019-03,2.83501e-7,0.0000220409,0.00558665,1.98927e-10,6.426e-10,0.00256823,0.000496196,1.57842e-7,0.00149793
US-CA,2019-03,8.28546e-7,0.000123974,0.0221463,9.34887e-10,2.41113e-9,0.0106642,0.0015556,0.00000242798,0.00652295
US-CO,2019-03,2.582e-7,0.0000256442,0.0175252,1.40441e-9,9.12833e-10,0.00381206,0.000427996,2.60408e-7,0.00233682
US-CT,2019-03,3.52018e-8,0.000049036,0.000884759,3.46707e-11,3.63368e-10,0.00188639,0.000098815,0.00000166885,0.00169298
US-DC,2019-03,4.58702e-7,0.00073793,0.00688385,3.86752e-10,5.14929e-9,0.0262905,0.00123964,0.0000255383,0.0252533
US-DE,2019-03,7.12168e-8,0.0000317412,0.00105626,5.07866e-11,3.04131e-10,0.00137649,0.000133219,9.98826e-7,0.00122877
US-FL,2019-03,1.27396e-7,0.0000574164,0.00176931,7.68221e-11,5.45402e-10,0.0024768,0.000239802,0.00000180904,0.00220948
US-GA,2019-03,1.68242e-7,0.000129479,0.00392699,1.30843e-10,1.10181e-9,0.00554697,0.000396218,0.00000422482,0.00466794
US-HI,2019-03,2.1243e-7,0.000110901,0.00746337,5.36777e-10,1.11325e-9,0.00519263,0.000412924,0.00000350866,0.00443801
US-IA,2019-03,3.12373e-7,0.0000316739,0.0346393,3.00617e-9,1.42864e-9,0.00606606,0.000492838,2.40856e-7,0.00369345
US-ID,2019-03,3.2778e-7,0.000113396,0.0297687,1.28492e-9,2.03885e-9,0.0116449,0.00100547,0.00000246783,0.00518188
US-IL,2019-03,6.79814e-8,0.0000109478,0.00719431,6.27886e-10,3.25754e-10,0.00139747,0.000108527,2.03955e-7,0.000918711
US-IN,2019-03,6.83806e-8,0.0000157038,0.0056544,4.78939e-10,3.17839e-10,0.00138792,0.000115242,3.85104e-7,0.000977599
US-KS,2019-03,3.06403e-7,0.0000266828,0.0337722,2.95997e-9,1.36468e-9,0.00569907,0.000469968,9.86544e-8,0.00349006
US-KY,2019-03,1.05188e-8,0.0000154527,0.00150508,2.45741e-11,1.61677e-10,0.00101182,0.000063791,4.57768e-7,0.000533769
US-LA,2019-03,1.92918e-8,0.0000625944,0.000613453,2.62932e-11,4.17223e-10,0.00223726,0.0000824081,0.00000218798,0.00209032
US-MA,2019-03,3.0357e-7,0.000116124,0.00562439,2.55817e-10,1.22047e-9,0.00554576,0.000574994,0.00000352408,0.00463671
