country,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
BS,2022,2.3e-7,0.00588,0.444,5.63e-9,2.81e-8,0.944,0.00669,0.000254,0.0435
BS,2023,2.3e-7,0.00588,0.444,5.63e-9,2.81e-8,0.944,0.00669,0.000254,0.0435
BS,2024,2.3e-7,0.00588,0.444,5.63e-9,2.81e-8,0.944,0.00669,0.000254,0.0435
BT,2019,6.06e-8,0.0000445,0.0273,3.54e-10,1.39e-9,0.0107,0.00084,8.07e-10,0.00166
BT,2020,6.06e-8,0.0000445,0.0273,3.54e-10,1.39e-9,0.0107,0.00084,8.07e-10,0.00166
BT,2021,6.06e-8,0.0000445,0.0273,3.54e-10,1.39e-9,0.0107,0.00084,8.07e-10,0.00166
BT,2022,6.06e-8,0.0000445,0.0273,3.54e-10,1.39e-9,0.0107,0.00084,8.07e-10,0.00166
BT,2023,6.06e-8,0.0000445,0.0273,3.54e-10,1.39e-9,0.0107,0.00084,8.07e-10,0.00166
BT,2024,6.06e-8,0.0000445,0.0273,3.54e-10,1.39e-9,0.0107,0.00084,8.07e-10,0.00166
BW,2019,4.79353e-7,0.00200086,0.379869,0.00000528773,0.00000276251,0.841556,0.00800607,0.0000412298,0.0922404
BW,2020,4.79353e-7,0.00200086,0.379869,0.00000528773,0.00000276251,0.841556,0.00800607,0.0000412298,0.0922404
BW,2021,4.79353e-7,0.00200086,0.379869,0.00000528773,0.00000276251,0.841556,0.00800607,0.0000412298,0.0922404
BW,2022,4.79353e-7,0.00200086,0.379869,0.00000528773,0.00000276251,0.841556,0.00800607,0.0000412298,0.0922404
BW,2023,4.79353e-7,0.00200086,0.379869,0.00000528773,0.00000276251,0.841556,0.00800607,0.0000412298,0.0922404
BW,2024,4.79353e-7,0.00200086,0.379869,0.00000528773,0.00000276251,0.841556,0.00800607,0.0000412298,0.0922404
BY,2019,2.72156e-7,0.000369644,0.116146,1.37896e-9,7.68758e-9,0.426972,0.00906031,0.00000205199,0.0496772
BY,2020,2.72156e-7,0.000369644,0.116146,1.37896e-9,7.68758e-9,0.426972,0.00906031,0.00000205199,0.0496772
BY,2021,2.72156e-7,0.000369644,0.116146,1.37896e-9,7.68758e-9,0.426972,0.00906031,0.00000205199,0.0496772
BY,2022,2.72156e-7,0.000369644,0.116146,1.37896e-9,7.68758e-9,0.426972,0.00906031,0.00000205199,0.0496772
BY,2023,2.72156e-7,0.000369644,0.116146,1.37896e-9,7.68758e-9,0.426972,0.00906031,0.00000205199,0.0496772
BY,2024,2.72156e-7,0.000369644,0.116146,1.37896e-9,7.68758e-9,0.426972,0.00906031,0.00000205199,0.0496772
BZ,2019,3.45297e-7,0.00250557,0.188826,0.00000559532,0.00000285855,0.4015,0.00413743,0.00010693,0.0337748
BZ,2020,3.56732e-7,0.00245414,0.184426,0.00000540386,0.00000276067,0.392116,0.00411974,0.000104726,0.0333114
