subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
CA-NB,2021-01,3.09056770881875e-7,0.0005709448111710689,0.12340470993375577,0.000002002681882375934,0.0000010376312191561803,0.2945347873283813,0.00772860504469264,0.000010199117841641588,0.0665356242234175
CA-QC,2021-01,8.226244807184687e-8,0.00005343165978174014,0.03032151426947666,3.3530954275553406e-8,1.8495500069858157e-8,0.01544832021551897,0.000908418875039937,1.688240145090127e-7,0.0024176456234899645
CA-ON,2021-01,3.239229624402386e-7,0.00014793352166588195,0.04920278335237509,3.892957711300167e-7,2.0466663378064084e-7,0.06326310648152317,0.009119638058638233,0.0000019798227304571167,0.08088122899520236
CA-MB,2021-01,7.541807185354682e-8,0.00004899084894739435,0.02911172136050164,1.6867732386836165e-8,9.8937205958397e-9,0.013068943336323498,0.0008752703696065248,8.42303533625881e-8,0.002074730541974424
CA-SK,2021-01,3.468849644457169e-7,0.0009100311776574267,0.1838507951522141,0.0000032906840015640913,0.0000017027369307933943,0.4791350954802318,0.007083418820859762,0.00001676005572061893,0.05936026773524433
CA-AB,2021-01,4.055946914231793e-7,0.0009726518268282375,0.1979859261203087,0.0000035270748598326233,0.000001824870771742785,0.5128421262364908,0.007543810171219042,0.000017962171412284874,0.06385960518180646
CA-BC,2021-01,1.0934452024027254e-7,0.0001244183556948367,0.04342961039720059,3.0323443466682853e-7,1.5794298276486108e-7,0.053850157156950795,0.0014212693965831948,0.0000015423696203289077,0.007180960383692876
CA-YT,2021-01,1.088619518546344e-7,0.00020439879735353962,0.055873364639246234,6.084034422292297e-7,3.158093270692376e-7,0.09726012564695727,0.001992429000476908,0.00000309813798359221,0.012279445851821572
CA-NT,2021-01,2.597439639651643e-7,0.0006697941672521787,0.1398209827859742,0.0000023777375757796842,0.0000012306956109477074,0.3491512106006087,0.005348860373599563,0.000012110374333744011,0.04327834107455189
CA-NU,2021-01,3.806331828442438e-7,0.0011048160270880362,0.21677482392776523,0.000004032432911963883,0.0000020863578498871327,0.5846948645598196,0.008481952031602707,0.00002053973373024831,0.0720793453724605
